ID,Name,Types,Attack,Defense,Stamina,Fast Moves,Charge Moves
20,Raticate,Normal,161,139,146,"Bite, Quick Attack","Dig, Hyper Beam, Hyper Fang, Frustration (Shadow), Return (Purified)"
20,Alolan Raticate,"Dark, Normal",135,154,181,"Bite, Quick Attack","Crunch, Hyper Beam, Hyper Fang, Frustration (Shadow), Return (Purified)"
21,Spearow,"Normal, Flying",112,60,120,"Peck, Quick Attack","Aerial Ace, Drill Peck, Sky Attack, Twister (legacy)"
22,Fearow,"Normal, Flying",182,133,163,"Peck, Steel Wing","Aerial Ace, Drill Peck, Drill Run, Fly, Sky Attack, Twister (legacy)"
23,Ekans,Poison,110,97,111,"Acid, Poison Sting","Poison Fang, Sludge Bomb, Wrap, Gunk Shot (legacy), Frustration (Shadow), Return (Purified)"
24,Arbok,Poison,167,153,155,"Acid, Bite, Dragon Tail, Poison Sting","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Frustration (Shadow), Return (Purified)"
25,Pikachu,Electric,112,96,111,"Quick Attack, Thunder Shock, Present (legacy)","Discharge, Thunderbolt, Wild Charge, Thunder (legacy), Surf (Community Day)"
25,Pikachu Libre,Electric,112,96,111,"Charm, Thunder Shock","Flying Press, Play Rough, Thunder Punch"
25,Pikachu Flying,Electric,112,96,111,"Present, Quick Attack, Thunder Shock","Discharge, Fly, Thunderbolt, Wild Charge"
25,Pikachu Popstar,Electric,112,96,111,"Charm, Thunder Shock","Draining Kiss, Play Rough, Thunder Punch"
25,Pikachu Rock Star,Electric,112,96,111,"Charm, Thunder Shock","Meteor Mash, Play Rough, Thunder Punch"
25,Pikachu PhD,Electric,112,96,111,"Charm, Thunder Shock, Present (legacy)","Play Rough, Thunder Punch"
26,Raichu,Electric,193,151,155,"Charm, Spark, Thunder Shock, Volt Switch","Brick Break, Skull Bash, Surf, Thunder Punch, Trailblaze, Wild Charge, Thunder (legacy)"
26,Alolan Raichu,"Electric, Psychic",201,154,155,"Spark, Thunder Shock, Volt Switch","Grass Knot, Psychic, Psyshock, Surf, Thunder Punch, Trailblaze, Wild Charge"
27,Sandshrew,Ground,126,120,137,"Mud Shot, Sand Attack, Scratch","Dig, Rock Slide, Sand Tomb, Rock Tomb (legacy), Frustration (Shadow), Return (Purified)"
27,Alolan Sandshrew,"Ice, Steel",125,129,137,"Metal Claw, Powder Snow","Blizzard, Gyro Ball, Night Slash, Frustration (Shadow), Return (Purified)"
28,Sandslash,Ground,182,175,181,"Metal Claw, Mud Shot, Sand Attack","Bulldoze, Earthquake, Rock Tomb, Scorching Sands, Night Slash (Community Day), Frustration (Shadow), Return (Purified)"
28,Alolan Sandslash,"Ice, Steel",177,195,181,"Metal Claw, Powder Snow, Shadow Claw (Community Day)","Aerial Ace, Blizzard, Bulldoze, Drill Run, Gyro Ball, Ice Punch, Frustration (Shadow), Return (Purified)"
29,Nidoran♀,Poison,86,89,146,"Bite, Poison Sting","Body Slam, Poison Fang, Sludge Bomb, Frustration (Shadow), Return (Purified)"
30,Nidorina,Poison,117,120,172,"Bite, Poison Sting","Dig, Poison Fang, Sludge Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
31,Nidoqueen,"Poison, Ground",180,173,207,"Bite, Mud-Slap, Poison Jab, Poison Sting","Earth Power, Earthquake, Poison Fang, Sludge Wave, Stone Edge, Frustration (Shadow), Return (Purified)"
32,Nidoran♂,Poison,105,76,130,"Peck, Poison Sting","Body Slam, Horn Attack, Sludge Bomb, Frustration (Shadow), Return (Purified)"
33,Nidorino,Poison,137,111,156,"Poison Jab, Poison Sting","Dig, Horn Attack, Ice Beam, Sludge Bomb, Frustration (Shadow), Return (Purified)"
34,Nidoking,"Poison, Ground",204,156,191,"Double Kick, Iron Tail, Poison Jab, Poison Sting, Fury Cutter (legacy)","Earth Power, Earthquake, Megahorn, Sand Tomb, Sludge Wave, Frustration (Shadow), Return (Purified)"
35,Clefairy,Fairy,107,108,172,"Pound, Zen Headbutt","Body Slam, Disarming Voice, Moonblast, Swift"
36,Clefable,Fairy,178,162,216,"Charge Beam, Charm, Fairy Wind, Zen Headbutt, Pound (legacy)","Dazzling Gleam, Draining Kiss, Meteor Mash, Moonblast, Psychic, Swift"
37,Vulpix,Fire,96,109,116,"Ember, Quick Attack","Body Slam, Flame Charge, Flamethrower, Weather Ball - Fire, Frustration (Shadow), Return (Purified)"
37,Alolan Vulpix,Ice,96,109,116,"Powder Snow, Zen Headbutt","Blizzard, Dark Pulse, Ice Beam, Weather Ball - Ice, Frustration (Shadow), Return (Purified)"
38,Ninetales,Fire,169,190,177,"Feint Attack, Fire Spin, Ember (legacy)","Heat Wave, Overheat, Psyshock, Scorching Sands, Solar Beam, Weather Ball - Fire, Fire Blast (legacy), Flamethrower (legacy), Frustration (Shadow), Return (Purified)"
38,Alolan Ninetales,"Ice, Fairy",170,193,177,"Charm, Feint Attack, Powder Snow","Blizzard, Dazzling Gleam, Ice Beam, Psyshock, Weather Ball - Ice, Frustration (Shadow), Return (Purified)"
39,Jigglypuff,"Normal, Fairy",80,41,251,"Feint Attack, Pound","Dazzling Gleam, Disarming Voice, Gyro Ball, Swift, Body Slam (legacy), Play Rough (legacy)"
40,Wigglytuff,"Normal, Fairy",156,90,295,"Charm, Feint Attack, Pound","Dazzling Gleam, Disarming Voice, Hyper Beam, Ice Beam, Icy Wind, Play Rough, Swift"
41,Zubat,"Poison, Flying",83,73,120,"Bite, Quick Attack","Air Cutter, Poison Fang, Swift, Sludge Bomb (legacy), Frustration (Shadow), Return (Purified)"
42,Golbat,"Poison, Flying",161,150,181,"Bite, Wing Attack","Air Cutter, Poison Fang, Shadow Ball, Ominous Wind (legacy), Frustration (Shadow), Return (Purified)"
43,Oddish,"Grass, Poison",131,112,128,"Acid, Razor Leaf","Moonblast, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
44,Gloom,"Grass, Poison",153,136,155,"Acid, Razor Leaf","Moonblast, Petal Blizzard, Sludge Bomb, Frustration (Shadow), Return (Purified)"
45,Vileplume,"Grass, Poison",202,167,181,"Acid, Razor Leaf","Moonblast, Petal Blizzard, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
46,Paras,"Bug, Grass",121,99,111,"Bug Bite, Scratch","Cross Poison, Seed Bomb, X-Scissor"
47,Parasect,"Bug, Grass",165,146,155,"Fury Cutter, Struggle Bug, Bug Bite (legacy)","Cross Poison, Solar Beam, X-Scissor"
48,Venonat,"Bug, Poison",100,100,155,"Bug Bite, Confusion","Poison Fang, Psybeam, Signal Beam, Frustration (Shadow), Return (Purified)"
49,Venomoth,"Bug, Poison",179,143,172,"Confusion, Infestation, Psywave, Bug Bite (legacy)","Bug Buzz, Poison Fang, Psychic, Silver Wind, Frustration (Shadow), Return (Purified)"
50,Diglett,Ground,109,78,67,"Mud Shot, Mud-Slap, Scratch","Dig, Mud Bomb, Rock Tomb, Frustration (Shadow), Return (Purified)"
50,Alolan Diglett,"Ground, Steel",108,81,67,"Metal Claw, Mud-Slap, Sand Attack","Dig, Mud Bomb, Rock Tomb, Frustration (Shadow), Return (Purified)"
51,Dugtrio,Ground,167,134,111,"Mud Shot, Mud-Slap, Sucker Punch","Earthquake, Mud Bomb, Stone Edge, Frustration (Shadow), Return (Purified)"
51,Alolan Dugtrio,"Ground, Steel",201,142,111,"Metal Claw, Mud-Slap, Sand Attack","Earthquake, Iron Head, Mud Bomb, Frustration (Shadow), Return (Purified)"
52,Meowth,Normal,92,78,120,"Bite, Scratch","Dark Pulse, Foul Play, Night Slash, Body Slam (legacy), Frustration (Shadow), Return (Purified)"
52,Alolan Meowth,Dark,99,78,120,"Bite, Scratch","Dark Pulse, Foul Play, Night Slash, Trailblaze, Frustration (Shadow), Return (Purified)"
52,Galarian Meowth,Steel,115,92,137,"Metal Claw, Metal Sound, Scratch","Dig, Gyro Ball, Night Slash, Trailblaze, Frustration (Shadow), Return (Purified)"
53,Persian,Normal,150,136,163,"Feint Attack, Scratch","Foul Play, Payback, Play Rough, Power Gem, Night Slash (legacy), Frustration (Shadow), Return (Purified)"
53,Alolan Persian,Dark,158,136,163,"Feint Attack, Scratch","Dark Pulse, Foul Play, Payback, Play Rough, Trailblaze, Frustration (Shadow), Return (Purified)"
54,Psyduck,Water,122,95,137,"Water Gun, Zen Headbutt","Aqua Tail, Cross Chop, Psybeam, Frustration (Shadow), Return (Purified)"
55,Golduck,Water,191,162,190,"Confusion, Water Gun","Bubble Beam, Cross Chop, Hydro Pump, Ice Beam, Liquidation, Psychic, Synchronoise, Frustration (Shadow), Return (Purified)"
56,Mankey,Fighting,148,82,120,"Karate Chop, Scratch","Brick Break, Cross Chop, Low Sweep, Frustration (Shadow), Return (Purified)"
57,Primeape,Fighting,207,138,163,"Counter, Low Kick, Karate Chop (legacy)","Close Combat, Ice Punch, Low Sweep, Night Slash, Cross Chop (legacy), Rage Fist (Community Day), Frustration (Shadow), Return (Purified)"
58,Growlithe,Fire,136,93,146,"Bite, Ember","Body Slam, Flame Wheel, Flamethrower, Frustration (Shadow), Return (Purified)"
58,Hisuian Growlithe,"Fire, Rock",142,92,155,"Bite, Ember","Crunch, Flamethrower, Rock Slide, Frustration (Shadow), Return (Purified)"
59,Arcanine,Fire,227,166,207,"Fire Fang, Snarl, Thunder Fang, Bite (legacy)","Crunch, Fire Blast, Flamethrower, Psychic Fangs, Scorching Sands, Wild Charge, Bulldoze (legacy), Frustration (Shadow), Return (Purified)"
59,Hisuian Arcanine,"Fire, Rock",232,165,216,"Fire Fang, Rock Smash, Snarl","Crunch, Flamethrower, Rock Slide, Wild Charge, Frustration (Shadow), Return (Purified)"
60,Poliwag,Water,101,82,120,"Bubble, Mud Shot","Body Slam, Bubble Beam, Mud Bomb, Frustration (Shadow), Return (Purified)"
61,Poliwhirl,Water,130,123,163,"Bubble, Mud Shot","Bubble Beam, Mud Bomb, Water Pulse, Scald (legacy), Frustration (Shadow), Return (Purified)"
62,Poliwrath,"Water, Fighting",182,184,207,"Bubble, Mud Shot, Rock Smash, Counter (Community Day)","Dynamic Punch, Hydro Pump, Ice Punch, Icy Wind, Power-Up Punch, Scald, Submission (legacy), Frustration (Shadow), Return (Purified)"
63,Abra,Psychic,195,82,93,"Charge Beam, Zen Headbutt","Psyshock, Shadow Ball, Signal Beam, Frustration (Shadow), Return (Purified)"
64,Kadabra,Psychic,232,117,120,"Confusion, Psycho Cut","Dazzling Gleam, Psybeam, Shadow Ball, Frustration (Shadow), Return (Purified)"
65,Alakazam,Psychic,271,167,146,"Confusion, Psycho Cut, Counter (Community Day)","Fire Punch, Focus Blast, Future Sight, Shadow Ball, Dazzling Gleam (legacy), Psychic (legacy), Frustration (Shadow), Return (Purified)"
65,Mega Alakazam,Psychic,367,207,146,,
66,Machop,Fighting,137,82,172,"Karate Chop, Rock Smash, Low Kick (legacy)","Brick Break, Cross Chop, Low Sweep, Frustration (Shadow), Return (Purified)"
67,Machoke,Fighting,177,125,190,"Karate Chop, Low Kick","Brick Break, Dynamic Punch, Submission, Cross Chop (legacy), Frustration (Shadow), Return (Purified)"
68,Machamp,Fighting,234,159,207,"Bullet Punch, Counter, Karate Chop (legacy)","Close Combat, Cross Chop, Dynamic Punch, Heavy Slam, Rock Slide, Stone Edge (legacy), Submission (legacy), Payback (Community Day), Frustration (Shadow), Return (Purified)"
69,Bellsprout,"Grass, Poison",139,61,137,"Acid, Vine Whip","Power Whip, Sludge Bomb, Wrap, Frustration (Shadow), Return (Purified)"
70,Weepinbell,"Grass, Poison",172,92,163,"Acid, Bullet Seed, Razor Leaf (legacy)","Power Whip, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
71,Victreebel,"Grass, Poison",207,135,190,"Acid, Razor Leaf, Magical Leaf (Community Day)","Acid Spray, Leaf Blade, Leaf Tornado, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
72,Tentacool,"Water, Poison",97,149,120,"Bubble, Poison Sting","Bubble Beam, Water Pulse, Wrap, Frustration (Shadow), Return (Purified)"
73,Tentacruel,"Water, Poison",166,209,190,"Acid, Poison Jab, Poison Sting","Acid Spray, Blizzard, Hydro Pump, Payback, Scald, Sludge Wave, Frustration (Shadow), Return (Purified)"
74,Geodude,"Rock, Ground",132,132,120,"Rock Throw, Tackle","Dig, Rock Slide, Rock Tomb, Frustration (Shadow), Return (Purified)"
74,Alolan Geodude,"Rock, Electric",132,132,120,"Rock Throw, Volt Switch","Rock Slide, Rock Tomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
75,Graveler,"Rock, Ground",164,164,146,"Mud Shot, Mud-Slap, Rock Throw","Dig, Rock Blast, Stone Edge, Rock Slide (legacy), Frustration (Shadow), Return (Purified)"
75,Alolan Graveler,"Rock, Electric",164,164,146,"Rock Throw, Volt Switch","Rock Blast, Stone Edge, Thunderbolt, Frustration (Shadow), Return (Purified)"
76,Golem,"Rock, Ground",211,198,190,"Mud Shot, Mud-Slap, Rock Throw","Ancient Power, Earthquake, Rock Blast, Stone Edge, Frustration (Shadow), Return (Purified)"
76,Alolan Golem,"Rock, Electric",211,198,190,"Rock Throw, Volt Switch, Rollout (Community Day)","Rock Blast, Stone Edge, Wild Charge, Frustration (Shadow), Return (Purified)"
77,Ponyta,Fire,170,127,137,"Ember, Tackle","Flame Charge, Flame Wheel, Stomp, Fire Blast (legacy), Frustration (Shadow), Return (Purified)"
77,Galarian Ponyta,Psychic,170,127,137,"Low Kick, Psycho Cut","Play Rough, Psybeam, Swift, Frustration (Shadow), Return (Purified)"
78,Rapidash,Fire,207,162,163,"Fire Spin, Incinerate, Low Kick, Ember (legacy)","Drill Run, Fire Blast, Flame Charge, Heat Wave, Scorching Sands, Wild Charge (Community Day), Frustration (Shadow), Return (Purified)"
78,Galarian Rapidash,"Psychic, Fairy",207,162,163,"Fairy Wind, Low Kick, Psycho Cut","Body Slam, High Horsepower, Megahorn, Play Rough, Psychic, Wild Charge (Community Day), Frustration (Shadow), Return (Purified)"
79,Slowpoke,"Water, Psychic",109,98,207,"Confusion, Water Gun","Psychic, Psyshock, Water Pulse, Frustration (Shadow), Return (Purified)"
79,Galarian Slowpoke,Psychic,109,98,207,"Confusion, Iron Tail","Psychic, Psyshock, Surf, Frustration (Shadow), Return (Purified)"
80,Slowbro,"Water, Psychic",177,180,216,"Confusion, Water Gun","Drain Punch, Ice Beam, Psychic, Scald, Water Pulse, Surf (Community Day), Frustration (Shadow), Return (Purified)"
80,Mega Slowbro,"Water, Psychic",224,259,216,,
80,Galarian Slowbro,"Poison, Psychic",182,156,216,"Confusion, Poison Jab","Brutal Swing, Drain Punch, Focus Blast, Psychic, Scald, Sludge Bomb, Surf (Community Day), Frustration (Shadow), Return (Purified)"
81,Magnemite,"Electric, Steel",165,121,93,"Metal Sound, Spark, Thunder Shock, Volt Switch","Discharge, Magnet Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
82,Magneton,"Electric, Steel",223,169,137,"Charge Beam, Metal Sound, Spark, Thunder Shock, Volt Switch","Discharge, Flash Cannon, Magnet Bomb, Zap Cannon, Frustration (Shadow), Return (Purified)"
83,Farfetch'd,"Normal, Flying",124,115,141,"Air Slash, Fury Cutter, Cut (legacy)","Aerial Ace, Air Cutter, Leaf Blade, Frustration (Shadow), Return (Purified)"
83,Galarian Farfetch'd,Fighting,174,114,141,"Fury Cutter, Rock Smash","Brave Bird, Brick Break, Leaf Blade, Frustration (Shadow), Return (Purified)"
84,Doduo,"Normal, Flying",158,83,111,"Peck, Quick Attack","Aerial Ace, Brave Bird, Drill Peck, Swift (legacy)"
85,Dodrio,"Normal, Flying",218,140,155,"Feint Attack, Peck, Steel Wing","Aerial Ace, Brave Bird, Drill Peck, Trailblaze, Air Cutter (legacy)"
86,Seel,Water,85,121,163,"Ice Shard, Lick, Water Gun (legacy)","Aqua Tail, Aurora Beam, Icy Wind, Aqua Jet (legacy)"
87,Dewgong,"Water, Ice",139,177,207,"Frost Breath, Iron Tail, Ice Shard (legacy)","Aurora Beam, Blizzard, Drill Run, Liquidation, Water Pulse, Aqua Jet (legacy), Icy Wind (legacy)"
88,Grimer,Poison,135,90,190,"Mud-Slap, Poison Jab","Mud Bomb, Sludge, Sludge Bomb, Frustration (Shadow), Return (Purified)"
88,Alolan Grimer,"Poison, Dark",135,90,190,"Bite, Poison Jab","Crunch, Gunk Shot, Sludge Bomb, Frustration (Shadow), Return (Purified)"
89,Muk,Poison,190,172,233,"Infestation, Poison Jab, Lick (legacy)","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Thunder Punch, Frustration (Shadow), Return (Purified)"
89,Alolan Muk,"Poison, Dark",190,172,233,"Bite, Poison Jab, Snarl","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Frustration (Shadow), Return (Purified)"
90,Shellder,Water,116,134,102,"Ice Shard, Tackle","Bubble Beam, Icy Wind, Razor Shell, Water Pulse, Frustration (Shadow), Return (Purified)"
91,Cloyster,"Water, Ice",186,256,137,"Frost Breath, Ice Shard","Aurora Beam, Avalanche, Hydro Pump, Icy Wind, Liquidation, Razor Shell, Blizzard (legacy), Frustration (Shadow), Return (Purified)"
92,Gastly,"Ghost, Poison",186,67,102,"Astonish, Lick, Sucker Punch (legacy)","Dark Pulse, Night Shade, Sludge Bomb, Ominous Wind (legacy), Frustration (Shadow), Return (Purified)"
93,Haunter,"Ghost, Poison",223,107,128,"Astonish, Shadow Claw, Lick (legacy)","Dark Pulse, Ice Punch, Shadow Ball, Shadow Punch, Sludge Bomb, Frustration (Shadow), Return (Purified)"
94,Gengar,"Ghost, Poison",261,149,155,"Hex, Shadow Claw, Sucker Punch, Lick (legacy)","Drain Punch, Focus Blast, Shadow Ball, Sludge Bomb, Dark Pulse (legacy), Psychic (legacy), Sludge Wave (legacy), Shadow Punch (Community Day), Frustration (Shadow), Return (Purified)"
94,Mega Gengar,"Ghost, Poison",349,199,155,,
95,Onix,"Rock, Ground",85,232,111,"Rock Throw, Tackle","Breaking Swipe, Heavy Slam, Sand Tomb, Stone Edge, Iron Head (legacy), Rock Slide (legacy), Frustration (Shadow), Return (Purified)"
96,Drowzee,Psychic,89,136,155,"Confusion, Pound","Psybeam, Psychic, Psyshock, Frustration (Shadow), Return (Purified)"
97,Hypno,Psychic,144,193,198,"Confusion, Zen Headbutt","Fire Punch, Focus Blast, Future Sight, Ice Punch, Psychic, Shadow Ball, Thunder Punch, Psyshock (legacy), Frustration (Shadow), Return (Purified)"
98,Krabby,Water,181,124,102,"Bubble, Mud Shot","Bubble Beam, Razor Shell, Vise Grip, Water Pulse, Frustration (Shadow), Return (Purified)"
99,Kingler,Water,240,181,146,"Bubble, Metal Claw, Mud Shot (legacy)","Crabhammer, Razor Shell, Vise Grip, Water Pulse, X-Scissor, Frustration (Shadow), Return (Purified)"
100,Voltorb,Electric,109,111,120,"Spark, Tackle","Discharge, Gyro Ball, Thunderbolt, Signal Beam (legacy), Frustration (Shadow), Return (Purified)"
100,Hisuian Voltorb,"Electric, Grass",109,111,120,"Charge Beam, Tackle","Energy Ball, Swift, Thunderbolt, Frustration (Shadow), Return (Purified)"
101,Electrode,Electric,173,173,155,"Spark, Volt Switch, Tackle (legacy)","Discharge, Foul Play, Hyper Beam, Thunderbolt, Frustration (Shadow), Return (Purified)"
101,Hisuian Electrode,"Electric, Grass",176,176,155,"Tackle, Thunder Shock","Energy Ball, Swift, Wild Charge, Frustration (Shadow), Return (Purified)"
102,Exeggcute,"Grass, Psychic",107,125,155,"Bullet Seed, Confusion","Ancient Power, Psychic, Seed Bomb, Frustration (Shadow), Return (Purified)"
103,Exeggutor,"Grass, Psychic",233,149,216,"Bullet Seed, Confusion, Extrasensory, Zen Headbutt (legacy)","Psychic, Seed Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
103,Alolan Exeggutor,"Grass, Dragon",230,153,216,"Bullet Seed, Dragon Tail","Dragon Pulse, Seed Bomb, Solar Beam, Draco Meteor (legacy), Frustration (Shadow), Return (Purified)"
104,Cubone,Ground,90,144,137,"Mud-Slap, Rock Smash","Bone Club, Bulldoze, Dig, Frustration (Shadow), Return (Purified)"
105,Marowak,Ground,144,186,155,"Mud-Slap, Rock Smash","Bone Club, Dig, Earthquake, Rock Slide, Frustration (Shadow), Return (Purified)"
105,Alolan Marowak,"Fire, Ghost",144,186,155,"Fire Spin, Hex, Rock Smash","Bone Club, Fire Blast, Flame Wheel, Shadow Ball, Shadow Bone (legacy), Frustration (Shadow), Return (Purified)"
106,Hitmonlee,Fighting,224,181,137,"Double Kick, Low Kick, Rock Smash","Blaze Kick, Close Combat, Low Sweep, Stone Edge, Brick Break (legacy), Stomp (legacy), Frustration (Shadow), Return (Purified)"
107,Hitmonchan,Fighting,193,197,137,"Bullet Punch, Counter, Rock Smash (legacy)","Close Combat, Fire Punch, Ice Punch, Power-Up Punch, Thunder Punch, Brick Break (legacy), Frustration (Shadow), Return (Purified)"
108,Lickitung,Normal,108,137,207,"Lick, Zen Headbutt","Hyper Beam, Power Whip, Stomp, Wrap, Body Slam (legacy)"
109,Koffing,Poison,119,141,120,"Infestation, Tackle","Dark Pulse, Sludge, Sludge Bomb, Frustration (Shadow), Return (Purified)"
110,Weezing,Poison,174,197,163,"Infestation, Rollout, Tackle","Dark Pulse, Shadow Ball, Sludge Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
110,Galarian Weezing,"Poison, Fairy",174,197,163,"Fairy Wind, Tackle","Brutal Swing, Hyper Beam, Overheat, Play Rough, Sludge, Frustration (Shadow), Return (Purified)"
111,Rhyhorn,"Ground, Rock",140,127,190,"Mud-Slap, Rock Smash","Bulldoze, Horn Attack, Stomp, Frustration (Shadow), Return (Purified)"
112,Rhydon,"Ground, Rock",222,171,233,"Mud-Slap, Rock Smash","Breaking Swipe, Earthquake, Stone Edge, Surf, Megahorn (legacy), Frustration (Shadow), Return (Purified)"
113,Chansey,Normal,60,128,487,"Pound, Zen Headbutt","Dazzling Gleam, Hyper Beam, Psychic"
114,Tangela,Grass,183,169,163,"Infestation, Vine Whip","Grass Knot, Sludge Bomb, Solar Beam, Power Whip (legacy), Frustration (Shadow), Return (Purified)"
115,Kangaskhan,Normal,181,165,233,"Low Kick, Mud-Slap","Crunch, Earthquake, Outrage, Power-Up Punch, Brick Break (legacy), Stomp (legacy), Frustration (Shadow), Return (Purified)"
115,Mega Kangaskhan,Normal,246,210,233,,
116,Horsea,Water,129,103,102,"Bubble, Water Gun","Bubble Beam, Dragon Pulse, Flash Cannon, Frustration (Shadow), Return (Purified)"
117,Seadra,Water,187,156,146,"Dragon Breath, Water Gun","Aurora Beam, Dragon Pulse, Hydro Pump, Blizzard (legacy), Frustration (Shadow), Return (Purified)"
118,Goldeen,Water,123,110,128,"Mud Shot, Peck","Aqua Tail, Horn Attack, Water Pulse"
119,Seaking,Water,175,147,190,"Peck, Waterfall, Poison Jab (legacy)","Ice Beam, Megahorn, Water Pulse, Drill Run (legacy), Icy Wind (legacy)"
120,Staryu,Water,137,112,102,"Tackle, Water Gun","Bubble Beam, Power Gem, Swift, Frustration (Shadow), Return (Purified)"
121,Starmie,"Water, Psychic",210,184,155,"Hidden Power, Psywave, Water Gun, Tackle (legacy)","Hydro Pump, Ice Beam, Power Gem, Psybeam, Psychic, Surf, Thunder, Frustration (Shadow), Return (Purified)"
122,Mr. Mime,"Psychic, Fairy",192,205,120,"Confusion, Magical Leaf, Psywave, Zen Headbutt","Psybeam, Psychic, Shadow Ball, Frustration (Shadow), Return (Purified)"
122,Galarian Mr. Mime,"Ice, Psychic",183,169,137,"Confusion, Zen Headbutt","Ice Punch, Psybeam, Psychic, Triple Axel, Frustration (Shadow), Return (Purified)"
123,Scyther,"Bug, Flying",218,170,172,"Air Slash, Fury Cutter, Steel Wing (legacy)","Aerial Ace, Night Slash, Trailblaze, X-Scissor, Bug Buzz (legacy), Frustration (Shadow), Return (Purified)"
124,Jynx,"Ice, Psychic",223,151,163,"Confusion, Frost Breath, Pound (legacy)","Avalanche, Draining Kiss, Focus Blast, Psyshock, Ice Punch (legacy)"
